step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
0,0.00686995545,-0.00784431025,9.99507427,0.377119035,0.102319792,9.49612713,0.749102056,0.214695841,8.99764061,1.12279439,-0.00394183304,8.49925518,1.49198186,0.104991555,7.9975934,1.85733616,0.216410175,7.49567604,2.22217369,-0.00368858501,6.99483204,2.59223962,0.104144007,6.49533415,2.96796131,0.216849566,5.9998827,3.33915877,-0.00284206937,5.50131273,3.70597434,0.10339953,4.99773836,4.06838226,0.217842489,4.49536085
1,0.0140801519,-0.0157271456,9.98705196,0.384519249,0.0946055278,9.4892025,0.758449733,0.209238708,8.99227619,1.13583517,-0.00779709034,8.49551201,1.50411808,0.100082129,7.99220133,1.86479974,0.21261701,7.48843765,2.22445035,-0.00732497359,6.98682117,2.59437394,0.0985326767,6.48803377,2.9757092,0.213480562,5.99728441,3.34818482,-0.00571043417,5.50008821,3.7118547,0.0969303623,4.99290514,4.06643581,0.215674758,4.48839188
2,0.0214110427,-0.0235915221,9.976161,0.39201656,0.0868982747,9.47942829,0.76789701,0.203696072,8.98406792,1.14899933,-0.0116038658,8.48888683,1.51632988,0.0952260271,7.9839263,1.87229145,0.20873934,7.47837639,2.22680902,-0.0109369187,6.97601748,2.59649134,0.0930286571,6.47805691,2.98337507,0.210006461,5.99205446,3.35721946,-0.00857096445,5.49614334,3.7176733,0.0905366838,4.98538876,4.0642786,0.213444337,4.4790206
3,0.0288406629,-0.031439431,9.96243191,0.399591535,0.0791973546,9.46683311,0.777426839,0.198076591,8.97304058,1.16226447,-0.0153665114,8.47940731,1.52859926,0.0904124677,7.97279024,1.87980318,0.204795063,7.4655056,2.22924471,-0.0145277847,6.96243,2.59860063,0.0876144767,6.46539545,2.99097395,0.206442267,5.98417187,3.36627173,-0.0114215277,5.48945999,3.72344112,0.0842099339,4.97517157,4.06193304,0.211154729,4.46722031
4,0.0363649875,-0.0392714255,9.9458704,0.407241076,0.0715026259,9.45142365,0.787035704,0.19238241,8.95920086,1.17562187,-0.019087093,8.46708107,1.54091656,0.0856390819,7.95880365,1.88733017,0.200790167,7.44983387,2.23175716,-0.0181001164,6.946064,2.60070705,0.0822855756,6.45004702,2.99851036,0.202792361,5.97362804,3.37534118,-0.0142628346,5.48003244,3.72915888,0.077948913,4.96224833,4.0594101,0.20880726,4.452981
5,0.0439818203,-0.0470877737,9.92648125,0.414963782,0.0638141036,9.43320274,0.796721637,0.18661499,8.94255352,1.18906462,-0.0227673352,8.45191479,1.55327415,0.0809043199,7.94197369,1.89486861,0.196729138,7.4313674,2.23434687,-0.0216560904,6.92692327,2.60281539,0.077038914,6.43200922,3.00598717,0.199059635,5.96041679,3.38442659,-0.0170957781,5.46785641,3.73482609,0.0717533529,4.94661713,4.05671883,0.206402808,4.4362936
6,0.0516895093,-0.0548886172,9.90426731,0.422758639,0.0561318733,9.41217518,0.80648309,0.180775538,8.92310238,1.20258641,-0.0264088288,8.43391323,1.56566477,0.0762068331,7.92230797,1.90241528,0.192616031,7.41011286,2.23701358,-0.0251976568,6.90501118,2.60492992,0.0718716905,6.41128016,3.01340747,0.195246667,5.94453192,3.39352655,-0.0199211687,5.45292854,3.74044204,0.0656230226,4.92827606,4.05386782,0.20394218,4.41715145
7,0.0594867133,-0.0626740158,9.87923145,0.430625021,0.0484560765,9.3883419,0.81631881,0.174865097,8.9008503,1.2161814,-0.0300130565,8.41308117,1.57808173,0.0715453252,7.89981365,1.90996695,0.188454673,7.38607597,2.2397573,-0.0287265684,6.88033104,2.60705471,0.0667812228,6.38785744,3.02077413,0.191355765,5.92596769,3.40263939,-0.0227397066,5.43524551,3.74600577,0.0595576726,4.9072237,4.05086517,0.201426148,4.39554691
8,0.0673719496,-0.0704440251,9.85137653,0.438562095,0.0407868512,9.36170769,0.826227486,0.168884784,8.87580109,1.22984385,-0.0335814394,8.38942337,1.59051907,0.0669183657,7.87449646,1.91752088,0.184248716,7.35926247,2.24257779,-0.032244321,6.8528862,2.60919333,0.0617648624,6.36173964,3.02809,0.18738912,5.90471888,3.41176367,-0.0255519897,5.41480398,3.75151634,0.0535569899,4.88345861,4.04771805,0.198855489,4.37147284
9,0.0753440484,-0.0781986266,9.82070446,0.446569353,0.0331243873,9.33227348,0.836207926,0.162835598,8.84795666,1.24356854,-0.0371153317,8.36294365,1.6029712,0.0623246171,7.84636211,1.9250747,0.180001572,7.3296771,2.24547482,-0.0357522592,6.82267952,2.61134934,0.0568200946,6.33292437,3.03535724,0.18334879,5.8807807,3.42089748,-0.0283586029,5.39160204,3.75697279,0.0476205684,4.85698032,4.04443455,0.196231037,4.34492302
