# object  ghidra-address  method  class+slot
# generated by tools/gen_vtable_callsites.py — see its docstring
keaLCPSolver.o 0x0001049a allocate keaMatrix_pcSparse_vanilla+0x00
keaLCPSolver.o 0x000104c2 makeFromColMajorPSM keaMatrix_pcSparse_vanilla+0x08
keaLCPSolver.o 0x000104cc factorize keaMatrix_pcSparse_vanilla+0x0c
keaLCPSolver.o 0x000104de solve keaMatrix_pcSparse_vanilla+0x10
keaLCPSolver.o 0x000106c4 factorize keaMatrix_pcSparse_vanilla+0x0c
keaLCPSolver.o 0x000106d6 solve keaMatrix_pcSparse_vanilla+0x10
keaLCPSolver.o 0x00010d1d allocate keaMatrix_pcSparse_vanilla+0x00
keaLCPSolver.o 0x00010d45 makeFromColMajorPSM keaMatrix_pcSparse_vanilla+0x08
keaLCPSolver.o 0x00010d4f factorize keaMatrix_pcSparse_vanilla+0x0c
keaLCPSolver.o 0x00010d61 solve keaMatrix_pcSparse_vanilla+0x10
keaRbdCore_unified.o 0x00010096 platformInit keaFunctions_Vanilla+0x10
keaRbdCore_unified.o 0x000100dc allocateMemory keaFunctions_Vanilla+0x14
keaRbdCore_unified.o 0x00010107 calcIworldandNonInertialForceandVhmf keaFunctions_Vanilla+0x04
keaRbdCore_unified.o 0x000101b4 calcJinvMandRHS keaFunctions_Vanilla+0x00
keaRbdCore_unified.o 0x00010319 makeFromJMJT keaMatrix_pcSparse_vanilla+0x04
keaRbdCore_unified.o 0x00010326 factorize keaMatrix_pcSparse_vanilla+0x0c
keaRbdCore_unified.o 0x00010338 writebackMatrixChol keaMatrix_pcSparse_vanilla+0x1c
keaRbdCore_unified.o 0x00010562 calculateConstraintAndResultantForces keaFunctions_Vanilla+0x08
keaRbdCore_unified.o 0x00010581 calculateAcceleration keaFunctions_Vanilla+0x0c
