# object  ghidra-address  method  class+slot
# generated by tools/gen_vtable_callsites.py — see its docstring
CxSmallSort.o 0x0001002c kd_MeMemoryAPI_create MeMemoryAPI+0x00
CxSmallSort.o 0x000101bc kd_MeMemoryAPI_create MeMemoryAPI+0x00
CxSmallSort.o 0x00010344 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x00010374 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x000103a7 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x000103ce kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x000103d9 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x000103e4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x000103fe kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
CxSmallSort.o 0x00010444 kd_MeMemoryAPI_create MeMemoryAPI+0x00
CxSmallSort.o 0x00010491 kd_MeMemoryAPI_create MeMemoryAPI+0x00
CxSmallSort.o 0x000104ad kd_MeMemoryAPI_create MeMemoryAPI+0x00
CxSmallSort.o 0x000105aa kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdAggregate.o 0x00010060 kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdAggregate.o 0x0001008f kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdAggregate.o 0x0001035c kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x00010fbe kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x00010fd7 kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdBatch.o 0x00010fe7 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x00011003 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x00011013 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x0001102a kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x00011041 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x0001105a kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x00011088 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x000110ab kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x000110d2 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x000110f9 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdBatch.o 0x00011160 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x00011170 kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
McdBatch.o 0x0001117b kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x00011186 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x00011191 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x000111a4 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x000111b7 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x000111c6 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x000111d5 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x000111e7 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x000111fc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBatch.o 0x00011205 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdBox.o 0x0001005b kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdBox.o 0x00010a43 kd_MeDebugDrawAPI_line MeDebugDrawAPI+0x00
McdConvexMesh.o 0x000105de kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdConvexMesh.o 0x00010686 kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdCylinder.o 0x00010061 kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdCylinder.o 0x00010a92 kd_MeDebugDrawAPI_line MeDebugDrawAPI+0x00
McdFrame.o 0x0001000e kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdFrame.o 0x00010040 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdFrame.o 0x0001006c kd_MePoolAPI_init MePoolAPI+0x00
McdFrame.o 0x0001007e kd_MePoolAPI_init MePoolAPI+0x00
McdFrame.o 0x00010098 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdFrame.o 0x000100d1 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdFrame.o 0x0001023b kd_MePoolAPI_destroy MePoolAPI+0x04
McdFrame.o 0x00010247 kd_MePoolAPI_destroy MePoolAPI+0x04
McdFrame.o 0x00010255 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdFrame.o 0x00010260 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdFrame.o 0x0001026b kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdFrame.o 0x0001027f kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdFrame.o 0x00010293 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdFrame.o 0x000102a5 kd_MePoolAPI_destroy MePoolAPI+0x04
McdFrame.o 0x000102cc kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdGeometry.o 0x000100a3 kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
McdGeometryInstance.o 0x00010181 kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdGeometryInstance.o 0x0001020e kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdGeometryInstance.o 0x00010287 kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdGeometryInstance.o 0x000102f0 kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdGeometryInstance.o 0x000104d7 kd_MePoolAPI_putStruct MePoolAPI+0x10
McdGeometryInstance.o 0x00010768 kd_MePoolAPI_putStruct MePoolAPI+0x10
McdGeometryManager.o 0x0001003c kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdGeometryManager.o 0x00010099 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdGeometryManager.o 0x0001011a kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdGeometryManager.o 0x0001017c kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdGeometryManager.o 0x000105bd kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdGeometryManager.o 0x00010650 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdGjk.o 0x0001010e kd_MePoolFixedAPI_getStruct MePoolFixedAPI+0x0c
McdGjk.o 0x000101a7 kd_MePoolFixedAPI_init MePoolFixedAPI+0x00
McdGjk.o 0x000101e8 kd_MePoolFixedAPI_putStruct MePoolFixedAPI+0x10
McdModel.o 0x0001001a kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdModel.o 0x00010131 kd_MePoolAPI_putStruct MePoolAPI+0x10
McdModel.o 0x0001016a kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
McdModel.o 0x0001017b kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
McdModel.o 0x0001057f kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
McdModel.o 0x00010590 kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
McdModel.o 0x000105ed kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdModel.o 0x000105fb kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdModelPair.o 0x0001000d kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPair.o 0x0001009a kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairContainer.o 0x0001000d kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairContainer.o 0x0001001f kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairContainer.o 0x000100bd kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairContainer.o 0x000100c6 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x0001000d kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairManager.o 0x00010046 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairManager.o 0x0001007d kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x00010086 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x000100ad kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairManager.o 0x000100bc kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairManager.o 0x000100cb kd_MePoolAPI_init MePoolAPI+0x00
McdModelPairManager.o 0x000100d6 kd_MeMemoryAPI_create MeMemoryAPI+0x00
McdModelPairManager.o 0x000100e5 kd_MePoolAPI_init MePoolAPI+0x00
McdModelPairManager.o 0x00010141 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x0001014a kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x00010155 kd_MePoolAPI_destroy MePoolAPI+0x04
McdModelPairManager.o 0x00010160 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x0001016b kd_MePoolAPI_destroy MePoolAPI+0x04
McdModelPairManager.o 0x00010176 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x0001017f kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
McdModelPairManager.o 0x00010492 kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdModelPairManager.o 0x000104ae kd_MePoolAPI_getStruct MePoolAPI+0x0c
McdModelPairManager.o 0x00010639 kd_MePoolAPI_putStruct MePoolAPI+0x10
McdModelPairManager.o 0x00010649 kd_MePoolAPI_putStruct MePoolAPI+0x10
McdModelPairManager.o 0x000106cf kd_MePoolAPI_putStruct MePoolAPI+0x10
McdModelPairManager.o 0x000106dc kd_MePoolAPI_putStruct MePoolAPI+0x10
McdModelPairManager.o 0x0001073f kd_MePoolAPI_getUsed MePoolAPI+0x14
McdModelPairManager.o 0x0001074c kd_MePoolAPI_getUnused MePoolAPI+0x18
McdNull.o 0x0001005b kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdPlane.o 0x0001005b kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdSphere.o 0x0001005b kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdSphere.o 0x00010530 kd_MeDebugDrawAPI_line MeDebugDrawAPI+0x00
McdSphyl.o 0x0001005b kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McdTriangleList.o 0x00010072 kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
McduDebugDraw.o 0x0001011f kd_MeDebugDrawAPI_line MeDebugDrawAPI+0x00
McduDebugDraw.o 0x000101d4 kd_MeDebugDrawAPI_line MeDebugDrawAPI+0x00
MdtBody.o 0x000103e3 kd_MePoolAPI_getStruct MePoolAPI+0x0c
MdtBody.o 0x0001056d kd_MePoolAPI_putStruct MePoolAPI+0x10
MdtBody.o 0x000105a5 kd_MePoolAPI_getStruct MePoolAPI+0x0c
MdtConstraint.o 0x00010701 kd_MePoolAPI_getStruct MePoolAPI+0x0c
MdtConstraint.o 0x000108b0 kd_MePoolAPI_putStruct MePoolAPI+0x10
MdtLOD.o 0x000106a2 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x000106b1 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x000106c0 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x000106cf kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x000106de kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x000106f0 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x00010702 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x00010714 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x00010726 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x00010738 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x0001074a kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x0001075c kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x00010792 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x000107a1 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MdtLOD.o 0x0001084d kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MdtLOD.o 0x000108c0 kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MdtLOD.o 0x00010950 kd_MeMemoryAPI_resize MeMemoryAPI+0x14
