step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
0,0.00686995639,-0.00784430839,9.99507427,0.377119035,0.102319792,9.49612713,0.749102056,0.214695841,8.99764061,1.12279439,-0.00394183397,8.49925518,1.49198186,0.104991555,7.9975934,1.85733616,0.216410175,7.49567604,2.22217369,-0.00368858618,6.99483204,2.59223962,0.104144014,6.49533415,2.96796131,0.216849566,5.9998827,3.33915877,-0.00284207123,5.50131273,3.70597434,0.10339953,4.99773836,4.06838226,0.217842489,4.49536085
1,0.0140801715,-0.01572714,9.98705196,0.384519279,0.0946055278,9.4892025,0.758449733,0.209238693,8.99227619,1.13583517,-0.00779708894,8.49551201,1.50411808,0.100082137,7.99220133,1.86479974,0.212616995,7.48843765,2.22445035,-0.00732497079,6.98682117,2.59437394,0.0985326916,6.48803377,2.9757092,0.213480562,5.99728441,3.34818482,-0.00571043976,5.50008821,3.7118547,0.0969303623,4.99290514,4.06643581,0.215674773,4.48839188
2,0.0214110408,-0.0235915221,9.976161,0.39201656,0.0868982747,9.47942924,0.76789701,0.203696072,8.98406792,1.14899933,-0.0116038658,8.48888683,1.51632988,0.0952260196,7.9839263,1.87229156,0.208739325,7.47837639,2.22680902,-0.0109369121,6.97601748,2.59649134,0.0930286795,6.47805691,2.98337507,0.210006461,5.99205446,3.35721946,-0.00857097469,5.49614334,3.7176733,0.0905366838,4.98538876,4.0642786,0.213444352,4.4790206
3,0.0288406815,-0.031439431,9.96243191,0.399591565,0.0791973546,9.46683407,0.777426839,0.198076591,8.97304058,1.16226459,-0.0153665114,8.47940731,1.52859926,0.0904124752,7.97279024,1.8798033,0.204795048,7.4655056,2.22924471,-0.0145277753,6.96243,2.59860063,0.0876145139,6.46539545,2.99097395,0.206442252,5.98417187,3.3662715,-0.0114215435,5.48945999,3.72344112,0.0842099413,4.97517157,4.06193304,0.211154744,4.46722031
4,0.0363650285,-0.0392714255,9.9458704,0.407241136,0.0715026334,9.4514246,0.787035704,0.19238241,8.95920181,1.17562199,-0.019087093,8.46708107,1.54091656,0.0856390968,7.95880365,1.88733017,0.200790152,7.44983387,2.23175716,-0.0181001052,6.946064,2.60070705,0.0822856128,6.45004702,2.99851036,0.202792346,5.97362804,3.37534094,-0.0142628523,5.48003244,3.72915888,0.0779489279,4.96224833,4.0594101,0.208807275,4.452981
5,0.0439818613,-0.0470877774,9.92648125,0.414963841,0.0638141111,9.4332037,0.796721637,0.186614975,8.94255447,1.18906474,-0.0227673333,8.45191479,1.55327415,0.0809043497,7.94197369,1.89486861,0.196729109,7.4313674,2.23434663,-0.0216560811,6.92692327,2.60281539,0.0770389512,6.43200922,3.00598717,0.199059635,5.96041679,3.38442636,-0.0170958005,5.46785688,3.73482609,0.0717533603,4.94661713,4.05671883,0.206402823,4.4362936
6,0.0516895875,-0.054888621,9.90426731,0.422758758,0.0561318807,9.41217518,0.80648315,0.180775493,8.92310333,1.20258653,-0.0264088213,8.43391323,1.56566465,0.0762068927,7.92230844,1.90241516,0.192616001,7.41011286,2.23701334,-0.025197655,6.90501118,2.60492992,0.0718717277,6.41128016,3.01340747,0.195246652,5.94453192,3.39352632,-0.0199211892,5.45292902,3.74044204,0.0656230301,4.92827606,4.05386782,0.20394218,4.41715145
7,0.0594868027,-0.0626740232,9.87923145,0.43062517,0.0484560803,9.38834286,0.816318929,0.174865052,8.90085125,1.21618152,-0.0300130434,8.41308117,1.57808161,0.0715454072,7.89981413,1.90996683,0.188454628,7.38607645,2.23975706,-0.0287265703,6.88033152,2.60705471,0.066781275,6.38785744,3.02077413,0.191355735,5.92596769,3.40263939,-0.0227397233,5.43524599,3.74600577,0.0595576949,4.9072237,4.05086517,0.201426134,4.39554691
8,0.0673720539,-0.07044404,9.85137653,0.438562274,0.0407868512,9.36170769,0.826227605,0.168884739,8.87580204,1.22984397,-0.0335814171,8.38942337,1.59051895,0.06691847,7.87449694,1.91752076,0.184248671,7.35926294,2.24257755,-0.0322443247,6.85288668,2.60919333,0.0617649257,6.36173964,3.02808976,0.187389091,5.90471888,3.41176367,-0.0255520158,5.41480446,3.75151634,0.0535570122,4.88345861,4.04771805,0.198855475,4.37147284
9,0.0753441676,-0.0781986415,9.82070446,0.446569562,0.0331243835,9.33227348,0.836208105,0.162835538,8.84795761,1.24356866,-0.0371153019,8.36294365,1.60297108,0.0623247363,7.84636259,1.92507458,0.180001512,7.32967758,2.24547458,-0.0357522592,6.82268,2.61134934,0.0568201728,6.33292484,3.035357,0.183348745,5.8807807,3.42089725,-0.0283586308,5.39160252,3.75697279,0.047620602,4.85698032,4.04443455,0.196231022,4.34492302
